postna_stevilka,kraj,drzava
CB4,Church End,United Kingdom
NE46,Newbiggin,United Kingdom
SG4,Langley,United Kingdom
BT2,Belfast,United Kingdom
WC1B,London,United Kingdom
WC2H,London,United Kingdom
OX12,Charlton,United Kingdom
IV1,Newton,United Kingdom
DT10,Kingston,United Kingdom
CV35,Walton,United Kingdom
NN4,Wootton,United Kingdom
BH21,East End,United Kingdom
LE16,Middleton,United Kingdom
L33,Liverpool,United Kingdom
WF9,Upton,United Kingdom
TF6,Aston,United Kingdom
LE15,Normanton,United Kingdom
SN13,Ashley,United Kingdom
S33,Sheffield,United Kingdom
EH9,Edinburgh,United Kingdom
LS9,Halton,United Kingdom
LS6,Leeds,United Kingdom
AB39,Aberdeen,United Kingdom
SY4,Pentre,United Kingdom
1000,Ljubljana,Slovenia
3000,Celje,Slovenia
3215,Loče,Slovenia
9240,Ljutomer,Slovenia
5231,Log pod Mangartom,Slovenia
1370,Logatec,Slovenia
